Date,id,Ozone,CO,SO2,NO2,PM10,PM2
2021-08-01,0,19.099310344827586,1.1546666666666667,7.014137931034482,27.52392857142857,76.683,34.520999999999994
2021-08-02,0,24.30933333333333,1.2363333333333333,7.760666666666666,26.896551724137932,83.445,43.59
2021-08-03,0,19.255666666666666,0.8426666666666667,7.774,25.49448275862069,70.09965517241379,29.114666666666665
2021-08-04,0,21.512333333333334,0.9023333333333333,8.062333333333333,26.018620689655172,71.76103448275863,26.203333333333333
2021-08-05,0,24.413666666666664,0.9026666666666667,8.563333333333333,25.32344827586207,95.31379310344828,40.00566666666667
2021-08-06,0,25.768666666666665,0.9646666666666667,8.597000000000001,27.9151724137931,107.02172413793105,46.57166666666667
2021-08-07,0,16.434,1.136,9.213666666666665,31.844827586206897,98.46033333333334,46.68366666666667
2021-08-08,0,17.768620689655172,1.0746666666666667,8.443999999999999,30.392413793103447,83.92866666666667,48.96933333333333
2021-08-09,0,21.701,1.0753333333333333,8.299666666666667,30.476206896551723,97.97310344827586,54.35433333333334
2021-08-10,0,18.969,0.9169999999999999,7.890333333333333,30.881724137931037,138.85103448275862,41.846
2021-08-11,0,18.029333333333334,0.8160000000000001,8.074666666666667,27.560689655172414,134.84392857142856,33.766666666666666
2021-08-12,0,21.726,0.8350000000000001,7.535333333333333,26.33034482758621,138.931,32.685172413793104
2021-08-13,0,21.941,0.792,7.299,23.908620689655173,133.77310344827586,33.12233333333333
2021-08-14,0,23.609666666666666,0.755,7.668666666666667,23.018275862068965,138.39,32.39566666666666
2021-08-15,0,23.58241379310345,0.7282758620689656,7.5649999999999995,19.9725,129.21607142857144,33.26620689655172
2021-08-16,0,24.087333333333333,0.8113333333333334,7.998333333333334,23.817586206896554,146.92633333333333,38.077999999999996
2021-08-17,0,25.637999999999998,0.889,7.694,26.33551724137931,176.897,52.05133333333333
2021-08-18,0,32.077,1.054,7.9783333333333335,30.91689655172414,176.43172413793104,61.40866666666667
2021-08-19,0,32.64833333333333,1.1113333333333335,9.294,36.5048275862069,190.27724137931034,76.87833333333333
2021-08-20,0,19.733333333333334,0.8463333333333334,7.705333333333333,26.679310344827588,79.91413793103449,39.00533333333333
2021-08-21,0,22.232333333333333,0.9423333333333334,7.336,24.34689655172414,38.43482758620689,23.878333333333334
2021-08-22,0,22.075714285714287,0.9644827586206897,6.698620689655172,24.17862068965517,61.95413793103449,34.074333333333335
2021-08-23,0,28.806896551724137,1.1313333333333333,6.617586206896552,29.654137931034484,84.163,37.723
2021-08-24,0,21.014482758620687,1.2633333333333332,6.485333333333333,29.490689655172414,110.15766666666667,49.623333333333335
2021-08-25,0,19.266333333333332,0.9173333333333333,6.544,26.566206896551723,135.72620689655173,37.16366666666667
2021-08-26,0,19.009999999999998,0.9333333333333333,6.805000000000001,24.524482758620692,143.5193103448276,33.172666666666665
2021-08-27,0,21.100666666666665,0.8833333333333333,6.977666666666666,27.470344827586207,177.0948275862069,44.205666666666666
2021-08-28,0,23.796333333333333,1.0376666666666667,7.305666666666667,29.324137931034482,148.8062068965517,49.74133333333334
2021-08-29,0,24.558666666666667,0.9086666666666667,6.990666666666667,23.68,128.39793103448275,54.89366666666667
2021-08-30,0,23.837666666666667,0.7946666666666666,7.242666666666667,18.164827586206897,59.16379310344828,25.57133333333333
2021-08-31,0,14.850999999999999,0.887,7.630333333333334,21.78793103448276,44.53862068965517,22.18933333333333
2021-09-01,0,14.319333333333333,0.9026666666666666,7.140666666666666,22.433103448275865,41.62896551724138,24.272
2021-09-02,0,21.036333333333335,1.1423333333333334,7.6659999999999995,23.70413793103448,60.451034482758615,30.275333333333332
2021-09-03,0,23.964,0.9786666666666667,7.176666666666667,24.338275862068965,58.291071428571435,26.186333333333334
2021-09-04,0,21.813666666666666,1.274,7.979333333333333,27.682758620689654,71.71357142857143,29.529
2021-09-05,0,23.896896551724137,1.3627586206896551,7.660344827586207,28.588275862068965,96.84629629629629,43.36
2021-09-06,0,30.853333333333335,1.363,7.913666666666667,30.91862068965517,118.77142857142857,55.357
2021-09-07,0,25.516000000000002,1.0403333333333333,8.141666666666667,23.541724137931034,87.36107142857144,42.749
2021-09-08,0,22.774333333333335,0.9263333333333333,8.57,22.141379310344828,67.49357142857143,24.353666666666665
2021-09-09,0,23.080666666666666,1.0396666666666667,8.542333333333334,23.761724137931036,77.72714285714287,31.903000000000002
2021-09-10,0,23.62933333333333,0.9373333333333334,8.535666666666666,23.052413793103447,71.04785714285714,33.31966666666667
2021-09-11,0,23.130333333333333,0.9296666666666666,7.821,23.076071428571428,35.885,20.905666666666665
2021-09-12,0,24.465333333333334,1.2113333333333334,9.148333333333333,23.518214285714286,56.965714285714284,29.988999999999997
2021-09-13,0,25.863999999999997,1.102,8.378,25.268620689655172,78.1675,38.664
2021-09-14,0,22.849,1.0173333333333334,9.185666666666666,22.54689655172414,78.41892857142857,27.40266666666667
2021-09-15,0,21.81866666666667,1.1256666666666668,8.418333333333333,24.264827586206895,72.58285714285714,20.954
2021-09-16,0,16.420666666666666,1.1646666666666665,7.528333333333333,26.65310344827586,68.84857142857143,25.178
2021-09-17,0,19.473,0.9963333333333334,7.905666666666666,23.11931034482759,64.84714285714286,23.887
2021-09-18,0,22.197333333333333,0.9663333333333333,9.029333333333334,23.30448275862069,76.75964285714285,31.981724137931035
2021-09-19,0,21.956333333333337,0.9376666666666666,8.617333333333333,23.04896551724138,81.6875,32.03068965517242
2021-09-20,0,22.250999999999998,1.0503333333333333,9.058666666666666,25.095333333333333,84.79892857142856,30.78241379310345
